country,admin1_name,admin2_name,SurveyId,n_slept_under_net,n_respondents,total_hh,total_n_itn,total_n_itn_used,prop_use,mean_age,prop_female,n_clusters
Tanzania,Manyara,Simanjiro DC,TZ2015DHS,324,3315,174,7,7,0.097737557,19.13714286,0.491812725,35
Tanzania,Manyara,Simanjiro DC,TZ2017DHS,1,61,0,0,0,0.016393443,16.11320755,0.639344262,1
Tanzania,Manyara,Simanjiro DC,TZ2022DHS,2379,6499,265,70,53,0.366056316,25.06668787,0.490517208,64
Tanzania,Mara,Bunda DC,TZ2007DHS,103,212,0,0,0,0.485849057,19.54825508,0.505522401,2
Tanzania,Mara,Bunda DC,TZ2010DHS,5343,6544,304,101,89,0.816473105,22.280507,0.495956387,43
Tanzania,Mara,Bunda DC,TZ2012DHS,59,82,0,0,0,0.719512195,22.90243902,0.56097561,1
Tanzania,Mara,Bunda DC,TZ2015DHS,2193,2822,139,71,45,0.777108434,20.37951807,0.518072289,17
Tanzania,Mara,Bunda DC,TZ2017DHS,141,284,0,0,0,0.496478873,20.36306333,0.489527497,2
Tanzania,Mara,Bunda DC,TZ2022DHS,9109,11897,447,141,132,0.765655207,21.29987776,0.46360577,73
Tanzania,Mara,Bunda TC,TZ2007DHS,62,81,0,0,0,0.765432099,20.59259259,0.580246914,1
Tanzania,Mara,Bunda TC,TZ2010DHS,1065,1155,68,35,28,0.922077922,21.11688312,0.493506494,15
Tanzania,Mara,Bunda TC,TZ2012DHS,149,197,0,0,0,0.756345178,19.6868306,0.478743169,2
Tanzania,Mara,Bunda TC,TZ2015DHS,4143,5381,267,156,94,0.76993124,20.82798484,0.552464426,51
Tanzania,Mara,Bunda TC,TZ2017DHS,215,248,0,0,0,0.866935484,21.88141026,0.540064103,2
Tanzania,Mara,Bunda TC,TZ2022DHS,1909,2162,91,32,30,0.882978723,21.79787234,0.585106383,23
Tanzania,Mara,Butiama DC,TZ2007DHS,92,237,0,0,0,0.388185654,21.4136768,0.499110452,2
Tanzania,Mara,Butiama DC,TZ2010DHS,6033,8537,408,115,99,0.706688532,20.82306499,0.547281707,63
Tanzania,Mara,Butiama DC,TZ2012DHS,176,247,0,0,0,0.712550607,18.57290847,0.538552321,2
Tanzania,Mara,Butiama DC,TZ2015DHS,2813,4137,196,106,56,0.679961325,20.12202917,0.569101002,33
Tanzania,Mara,Butiama DC,TZ2017DHS,195,330,0,0,0,0.590909091,21.01642528,0.509837784,3
Tanzania,Mara,Butiama DC,TZ2022DHS,1080,1460,66,13,13,0.739726027,21.81944444,0.534246575,20
Tanzania,Mara,Musoma DC,TZ2007DHS,101,247,0,0,0,0.408906883,22.81963934,0.502098361,2
Tanzania,Mara,Musoma DC,TZ2010DHS,4353,6009,279,71,64,0.72441338,19.49277878,0.516262261,39
Tanzania,Mara,Musoma DC,TZ2012DHS,105,145,0,0,0,0.724137931,20.89655172,0.579310345,1
Tanzania,Mara,Musoma DC,TZ2015DHS,2636,4210,203,110,50,0.626128266,20.40512844,0.543225097,34
Tanzania,Mara,Musoma DC,TZ2017DHS,70,136,0,0,0,0.514705882,23.81617647,0.477941176,1
Tanzania,Mara,Musoma DC,TZ2022DHS,3930,6849,266,68,61,0.573806395,22.20528455,0.50203252,41
Tanzania,Mara,Musoma MC,TZ2007DHS,46,81,0,0,0,0.567901235,19.34567901,0.604938272,1
Tanzania,Mara,Musoma MC,TZ2010DHS,1600,1968,91,30,29,0.81300813,22.7804878,0.617886179,16
Tanzania,Mara,Musoma MC,TZ2012DHS,170,197,0,0,0,0.862944162,18.90710554,0.523719958,2
Tanzania,Mara,Musoma MC,TZ2015DHS,5940,6674,316,165,115,0.890020977,20.2789459,0.578231942,55
Tanzania,Mara,Musoma MC,TZ2017DHS,65,85,0,0,0,0.764705882,21.02352941,0.458823529,1
Tanzania,Mara,Musoma MC,TZ2022DHS,4194,5417,225,84,73,0.774229278,25.01659128,0.544772999,42
Tanzania,Mara,Rorya DC,TZ2007DHS,101,326,0,0,0,0.309815951,20.7839633,0.501861721,3
Tanzania,Mara,Rorya DC,TZ2010DHS,5090,8120,403,114,97,0.626847291,21.99969502,0.526597938,80
Tanzania,Mara,Rorya DC,TZ2012DHS,283,400,0,0,0,0.7075,22.2912062,0.514218329,4
Tanzania,Mara,Rorya DC,TZ2015DHS,4800,7609,356,213,104,0.63083191,20.33897488,0.578529078,64
Tanzania,Mara,Rorya DC,TZ2017DHS,336,492,0,0,0,0.682926829,21.00012712,0.511682623,4
Tanzania,Mara,Rorya DC,TZ2022DHS,8515,12066,432,148,134,0.705701972,22.79562768,0.518028357,77
