province,num_hhmember,number_slept_under_itn,under_5,five_to_nineteen,nineteen_plus,num_under_5_slept_under_net,num_under_5,percent_slept_under_nets,percent_kids_slept_under_nets,all_slept_under_net,rural,wealth_quintile,raw_weight_hh,true_cluster,strata_id,fpc,fpc2,itns_in_hh,llins_in_hh,irs,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea,very_high_irs_in_ea,high_irs_in_ea,medium_irs_in_ea,low_irs_in_ea,very_low_irs_in_ea,people_per_net,nets_per_people,one_net_per_2_people,full_cover_or_irs_or_all_under_nets,all_kids_slept_under_net,itn_2_1_coverage_and_irs,itn_2_1_coverage_or_irs
Central,3,3,1,#NAME?,1,1,1,1,1,1,Rural,4,389.4091187,1,17,0.008504924,0.101382487,1,1,0,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,2.857142857,1,0,0,0,0,1,3,0.333333333,0,1,1,0,0
Southern,2,2,#NAME?,#NAME?,1,0,0,1,NA,1,Urban,5,271.2770081,178,8,0.003696858,0.246376812,2,2,0,2,1,2,1,1,1,2,1,1,1,1,1,0,1,22.72727273,2,0,0,0,1,0,1,1,1,1,NA,0,1
North-Western,7,6,#NAME?,1,1,0,0,0.857142857,NA,0,Urban,5,2388.099854,157,3,0.005050505,0.131736532,7,7,1,3,1,7,1,1,1,7,2.333333333,1,1,1,1,1,1,60,4,0,1,0,0,0,1,1,1,1,NA,1,1
Copperbelt,5,1,#NAME?,1,1,0,0,0.2,NA,0,Urban,5,1380.533325,39,11,0.004253509,0.129032254,1,0,1,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,54.16666667,3,0,0,1,0,0,5,0.2,0,1,NA,0,1
Luapula,1,0,#NAME?,1,#NAME?,0,0,0,NA,0,Rural,1,654.0604248,78,18,0.01005291,0.198347107,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,2,0,0,0,1,0,NA,0,0,0,NA,0,0
Lusaka,3,3,#NAME?,1,1,0,0,1,NA,1,Rural,4,676.0807495,95,10,0.010804322,0.128205135,2,0,1,2,1,2,1,1,0,2,1,1,1,0,1,1,1,66.66666667,4,0,1,0,0,0,1.5,0.666666667,1,1,NA,1,1
Northern,4,4,1,1,1,1,1,1,1,1,Rural,1,910.2848511,134,16,0.008608972,0.141843975,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,66.66666667,4,0,1,0,0,0,2,0.5,1,1,1,1,1
Lusaka,1,0,#NAME?,1,#NAME?,0,0,0,NA,0,Rural,3,146.1127014,91,10,0.010804322,0.333333343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,0,0,0,NA,0,0
North-Western,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,1,783.1801147,156,12,0.011178861,0.119834714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,NA,0,0,0,NA,0,0
Eastern,1,0,#NAME?,#NAME?,1,0,0,0,NA,0,Rural,2,1266.574219,61,20,0.010673986,0.116959065,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,25,2,0,0,0,1,0,1,1,1,1,NA,0,1
Copperbelt,13,7,1,1,1,1,1,0.538461538,1,0,Urban,5,1188.17041,34,11,0.004253509,0.155688629,5,0,0,6,1,5,1,1,0,5,0.833333333,0,1,0,1,0,1,56,3,0,0,1,0,0,2.6,0.384615385,0,0,1,0,0
Southern,3,3,#NAME?,1,1,0,0,1,NA,1,Rural,2,258.488739,165,19,0.008669267,0.190476194,2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,34.7826087,2,0,0,0,1,0,1.5,0.666666667,1,1,NA,1,1
Western,6,5,#NAME?,1,1,0,0,0.833333333,NA,0,Rural,5,616.3865967,181,15,0.009014085,0.201680675,4,4,0,3,1,4,1,1,1,4,1.333333333,1,1,1,1,0,1,37.5,2,0,0,0,1,0,1.5,0.666666667,1,1,NA,0,1
Central,4,0,1,1,1,0,1,0,0,0,Rural,1,661.0271606,19,17,0.008504924,0.219780222,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,0,1,0,0,0,NA,0,0,0,0,0,0
Lusaka,2,0,1,#NAME?,1,0,1,0,0,0,Rural,5,576.4810181,96,10,0.010804322,0.268817216,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,72,4,0,1,0,0,0,NA,0,0,1,0,0,1
