province,rural,wealth_quintile,raw_weight_hh,true_cluster,fpc,fpc2,program,itns_in_hh,llins_in_hh,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea
Southern,Rural,4,1015.069885,173,0.008669267,0.139534891,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,12,1
Southern,Urban,5,2030.643921,179,0.003696858,0.206185564,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
Copperbelt,Urban,5,859.3067627,35,0.004253509,0.205128208,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54.16666667,3
Luapula,Urban,4,1629.50769,90,0.002994012,0.157894731,Contorl,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,87.5,5
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,3,3,5,1,3,1,1,1,3,0.6,0,1,1,1,1,1,41.66666667,3
Eastern,Rural,2,505.5463867,48,0.010673986,0.273809522,Group 2: Pre-elimination (phase 2),1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,43.47826087,3
Lusaka,Rural,3,523.6849976,93,0.010804322,0.06122449,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,27.27272727,2
Western,Rural,4,784.9139404,192,0.009014085,0.162337661,Contorl,4,4,3,1,4,1,1,1,4,1.333333333,1,1,1,1,0,1,0,1
Eastern,Rural,5,481.271698,58,0.010673986,0.165517241,Group 3: Pre-elimination (phase 3),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,72,4
Luapula,Rural,5,496.3392334,82,0.01005291,0.135714293,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,89.47368421,5
Muchinga,Rural,3,227.0856781,122,0.008843537,0.226415098,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,45.83333333,3
Eastern,Rural,3,1266.574219,61,0.010673986,0.116959065,Group 3: Pre-elimination (phase 3),2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,25,2
Central,Rural,2,641.1096802,18,0.008504924,0.263157904,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2
Northern,Rural,2,360.3304749,141,0.008608972,0.333333343,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,13.63636364,1
Eastern,Rural,3,619.6938477,55,0.010673986,0.154838711,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3
Eastern,Rural,2,681.663269,197,0.010673986,0.193548381,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,5
Lusaka,Rural,5,576.4810181,96,0.010804322,0.268817216,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,72,4
Lusaka,Urban,5,2968.234619,111,0.004336827,0.0995671,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04347826,1
Lusaka,Rural,4,258.8890076,92,0.010804322,0.19178082,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,18.75,1
Northern,Rural,2,511.7737122,126,0.008608972,0.46938777,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
Luapula,Rural,1,538.1774902,81,0.01005291,0.182481751,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
Central,Rural,2,470.0323181,2,0.008504924,0.220338985,Contorl,2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,1,44.44444444,3
Luapula,Rural,2,412.4599609,72,0.01005291,0.184615389,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45.83333333,3
Lusaka,Urban,5,1603.284668,101,0.004336827,0.103960395,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,0,1,22.72727273,2
Central,Rural,5,740.0307617,5,0.008504924,0.191011235,Contorl,2,0,6,1,2,1,1,0,2,0.333333333,0,1,0,1,0,1,20,2
Eastern,Rural,2,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,1,40,3
Eastern,Rural,2,681.663269,197,0.010673986,0.193548381,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
North-Western,Rural,3,95.80170441,147,0.011178861,0.274193555,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,83.33333333,5
Eastern,Rural,1,294.5521545,46,0.010673986,0.333333343,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33333333,3
Southern,Rural,4,866.6915894,176,0.008669267,0.107476637,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,43.47826087,3
Eastern,Rural,1,273.2630615,51,0.010673986,0.300000012,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33333333,3
Southern,Rural,2,540.2883301,164,0.008669267,0.169354841,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04761905,1
Western,Rural,3,455.3486633,191,0.009014085,0.201680675,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,50,3
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,41.66666667,3
Muchinga,Rural,4,376.7821045,114,0.008843537,0.177304968,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,92,5
Northern,Rural,1,500.5276489,135,0.008608972,0.194690272,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,4
Eastern,Rural,2,555.6348877,200,0.010673986,0.147540987,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,79.16666667,4
Copperbelt,Rural,3,443.9248962,30,0.009740259,0.115207374,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,60,4
Copperbelt,Rural,4,2013.269531,25,0.009740259,0.055944055,Contorl,2,0,3,1,2,1,1,0,2,0.666666667,0,1,0,1,1,1,75,4
Western,Rural,4,487.8677063,182,0.009014085,0.161971837,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,0,1,26.08695652,2
Eastern,Rural,3,603.1306763,198,0.010673986,0.152173907,Group 2: Pre-elimination (phase 2),1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,90.47619048,5
Central,Rural,5,537.9537354,8,0.008504924,0.347222209,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,36,2
Muchinga,Rural,2,355.3428955,124,0.008843537,0.290909082,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,25,2
Central,Rural,2,909.2398071,13,0.008504924,0.091304347,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,1
Copperbelt,Urban,5,859.3067627,35,0.004253509,0.205128208,Contorl,1,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,1,1,54.16666667,3
Lusaka,Urban,5,1292.921265,104,0.004336827,0.157232702,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
Central,Rural,3,508.188385,9,0.008504924,0.316666663,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,36.84210526,2
Luapula,Rural,2,840.6568604,85,0.01005291,0.25,Contorl,4,0,2,1,4,1,1,0,4,2,1,1,0,1,1,1,77.27272727,4
Luapula,Rural,1,1017.982971,73,0.01005291,0.129032254,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,55,3
Luapula,Rural,1,538.1774902,81,0.01005291,0.182481751,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
North-Western,Rural,1,418.4242249,149,0.011178861,0.192000002,Contorl,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,54.16666667,3
Eastern,Rural,1,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,3
Lusaka,Rural,2,576.4810181,96,0.010804322,0.268817216,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4
Central,Rural,4,205.3968658,15,0.008504924,0.585365832,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,11.53846154,1
Copperbelt,Rural,4,472.447876,29,0.009740259,0.173913047,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,64,4
Southern,Rural,2,906.1154785,158,0.008669267,0.089147285,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08695652,2
Northern,Rural,5,360.3304749,141,0.008608972,0.333333343,Contorl,1,1,4,1,1,0,0,0,1,0.25,0,1,1,1,0,1,13.63636364,1
Eastern,Rural,1,661.9102783,201,0.010673986,0.216216221,Group 2: Pre-elimination (phase 2),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,5
Lusaka,Rural,3,523.6849976,93,0.010804322,0.06122449,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,27.27272727,2
North-Western,Rural,2,441.6700439,150,0.011178861,0.210526317,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,1
Lusaka,Rural,4,676.0807495,95,0.010804322,0.128205135,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,66.66666667,4
Eastern,Rural,1,660.1539307,52,0.010673986,0.145348832,Group 3: Pre-elimination (phase 3),2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,72,4
Copperbelt,Rural,4,453.1447144,28,0.009740259,0.303030312,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,76,4
Northern,Rural,1,500.5276489,135,0.008608972,0.194690272,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,68.18181818,4
Southern,Rural,5,540.2883301,164,0.008669267,0.169354841,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,19.04761905,1
Muchinga,Rural,1,235.6892395,112,0.008843537,0.490196079,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Eastern,Rural,4,610.8093872,45,0.010673986,0.143999994,Group 2: Pre-elimination (phase 2),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,77.77777778,4
Eastern,Rural,3,485.0439758,56,0.010673986,0.130890056,Group 3: Pre-elimination (phase 3),2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,56,3
Western,Rural,2,616.3865967,181,0.009014085,0.201680675,Contorl,4,4,3,1,4,1,1,1,4,1.333333333,1,1,1,1,1,1,37.5,2
Western,Rural,1,454.232605,185,0.009014085,0.155844152,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,44,3
Northern,Rural,1,1421.343872,142,0.008608972,0.058608059,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,61.9047619,4
Muchinga,Urban,5,242.2261658,125,0.005319149,0.269662917,Contorl,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,45.83333333,3
Muchinga,Rural,1,235.6892395,112,0.008843537,0.490196079,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Luapula,Rural,2,412.4599609,72,0.01005291,0.184615389,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,45.83333333,3
Southern,Rural,5,472.7120056,166,0.008669267,0.063583814,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,73.91304348,4
Northern,Rural,3,360.3304749,141,0.008608972,0.333333343,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,13.63636364,1
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,52,3
Eastern,Rural,4,336.3952026,60,0.010673986,0.220183492,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2
Western,Rural,4,402.0045471,188,0.009014085,0.357142866,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,20,2
Northern,Rural,2,360.3304749,141,0.008608972,0.333333343,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,13.63636364,1
Lusaka,Rural,2,676.0807495,95,0.010804322,0.128205135,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,66.66666667,4
Eastern,Rural,2,868.9041138,65,0.010673986,0.134969324,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,72.72727273,4
North-Western,Rural,4,533.244873,154,0.011178861,0.15436241,Contorl,5,5,6,1,5,1,1,1,5,0.833333333,0,1,1,1,0,1,47.82608696,3
Eastern,Rural,4,541.4136963,69,0.010673986,0.157534242,Group 3: Pre-elimination (phase 3),1,0,3,1,1,1,0,0,3,0.333333333,0,1,0,1,0,1,69.23076923,4
Eastern,Rural,2,294.5521545,46,0.010673986,0.333333343,Group 2: Pre-elimination (phase 2),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,58.33333333,3
Central,Rural,2,641.1096802,18,0.008504924,0.263157904,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,20,2
Eastern,Rural,2,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,72.72727273,4
Lusaka,Urban,5,1548.101318,103,0.004336827,0.183206111,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Central,Rural,3,545.0557861,14,0.008504924,0.146496817,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30.43478261,2
Western,Rural,3,608.4604492,189,0.009014085,0.129870132,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,10,1
Eastern,Rural,3,610.8093872,45,0.010673986,0.143999994,Group 2: Pre-elimination (phase 2),3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,77.77777778,4
Western,Rural,3,481.2757568,183,0.009014085,0.347222209,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,36,2
Eastern,Rural,2,603.1306763,198,0.010673986,0.152173907,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,90.47619048,5
Eastern,Rural,5,291.3121033,43,0.010673986,0.289855063,Group 2: Pre-elimination (phase 2),4,4,6,1,4,1,1,1,4,0.666666667,0,1,1,1,0,1,30,2
Eastern,Rural,4,1266.574219,61,0.010673986,0.116959065,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,25,2
Southern,Rural,3,807.7772827,161,0.008669267,0.200000003,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2
Copperbelt,Rural,5,453.1447144,28,0.009740259,0.303030312,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,76,4
Luapula,Rural,3,642.6174927,76,0.01005291,0.157232702,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,80.55555556,5
Luapula,Rural,2,765.9437256,71,0.01005291,0.100877196,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
Muchinga,Rural,1,227.7526245,117,0.008843537,0.406779647,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,3
Eastern,Rural,4,273.2630615,51,0.010673986,0.300000012,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33333333,3
Lusaka,Urban,5,3014.49292,107,0.004336827,0.093333334,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,1
Central,Rural,4,561.8015747,10,0.008504924,0.273809522,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,47.82608696,3
Lusaka,Urban,5,1356.745117,106,0.004336827,0.115207374,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
Muchinga,Rural,2,227.7526245,117,0.008843537,0.406779647,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,3
Muchinga,Rural,1,341.5785828,120,0.008843537,0.205357149,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,22.72727273,2
Luapula,Rural,1,473.644928,87,0.01005291,0.203539819,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,43.47826087,3
Eastern,Rural,5,660.1539307,52,0.010673986,0.145348832,Group 3: Pre-elimination (phase 3),2,1,2,1,2,1,1,0,2,1,1,1,1,1,0,1,72,4
Eastern,Rural,3,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Luapula,Rural,1,473.644928,87,0.01005291,0.203539819,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,43.47826087,3
